Cat	Countries	Dimension	value
Workers	Australia	Quality_of_opportunities	0.673
Workers	Austria	Quality_of_opportunities	0.664
Workers	Belgium	Quality_of_opportunities	0.712
Workers	Canada	Quality_of_opportunities	0.769
Workers	Switzerland	Quality_of_opportunities	0.633
Workers	Chile	Quality_of_opportunities	0.639
Workers	Czech Republic	Quality_of_opportunities	0.881
Workers	Germany	Quality_of_opportunities	0.593
Workers	Denmark	Quality_of_opportunities	0.656
Workers	Spain	Quality_of_opportunities	0.466
Workers	Estonia	Quality_of_opportunities	0.828
Workers	Finland	Quality_of_opportunities	0.547
Workers	France	Quality_of_opportunities	0.679
Workers	United Kingdom	Quality_of_opportunities	0.766
Workers	Greece	Quality_of_opportunities	0.598
Workers	Hungary	Quality_of_opportunities	0.915
Workers	Ireland	Quality_of_opportunities	0.787
Workers	Iceland	Quality_of_opportunities	0.767
Workers	Israel	Quality_of_opportunities	0.619
Workers	Italy	Quality_of_opportunities	0.457
Workers	Japan	Quality_of_opportunities	0.256
Workers	Korea	Quality_of_opportunities	0.415
Workers	Luxembourg	Quality_of_opportunities	0.842
Workers	Latvia	Quality_of_opportunities	0.888
Workers	Mexico	Quality_of_opportunities	0.647
Workers	Netherlands	Quality_of_opportunities	0.582
Workers	Norway	Quality_of_opportunities	0.676
Workers	New Zealand	Quality_of_opportunities	0.759
Workers	Poland	Quality_of_opportunities	0.649
Workers	Portugal	Quality_of_opportunities	0.743
Workers	Slovak Republic	Quality_of_opportunities	0.880
Workers	Slovenia	Quality_of_opportunities	0.847
Workers	Sweden	Quality_of_opportunities	0.650
Workers	Türkiye	Quality_of_opportunities	0.866
Workers	United States	Quality_of_opportunities	0.868
Workers	Australia	Income	0.513
Workers	Austria	Income	0.403
Workers	Belgium	Income	0.326
Workers	Canada	Income	0.497
Workers	Switzerland	Income	0.561
Workers	Chile	Income	0.752
Workers	Czech Republic	Income	0.457
Workers	Germany	Income	0.414
Workers	Denmark	Income	0.501
Workers	Spain	Income	0.380
Workers	Estonia	Income	0.430
Workers	Finland	Income	0.429
Workers	France	Income	0.371
Workers	United Kingdom	Income	0.415
Workers	Greece	Income	0.359
Workers	Hungary	Income	0.445
Workers	Ireland	Income	0.475
Workers	Iceland	Income	0.457
Workers	Israel	Income	0.461
Workers	Italy	Income	0.314
Workers	Japan	Income	0.536
Workers	Korea	Income	0.544
Workers	Luxembourg	Income	0.348
Workers	Latvia	Income	0.397
Workers	Mexico	Income	0.569
Workers	Netherlands	Income	0.495
Workers	Norway	Income	0.444
Workers	New Zealand	Income	0.530
Workers	Poland	Income	0.515
Workers	Portugal	Income	0.371
Workers	Slovak Republic	Income	0.435
Workers	Slovenia	Income	0.423
Workers	Sweden	Income	0.361
Workers	Türkiye	Income	0.456
Workers	United States	Income	0.603
Workers	Australia	Future_prospects	0.689
Workers	Austria	Future_prospects	0.572
Workers	Belgium	Future_prospects	0.652
Workers	Canada	Future_prospects	0.750
Workers	Switzerland	Future_prospects	0.428
Workers	Chile	Future_prospects	0.514
Workers	Czech Republic	Future_prospects	0.543
Workers	Germany	Future_prospects	0.601
Workers	Denmark	Future_prospects	0.389
Workers	Spain	Future_prospects	0.705
Workers	Estonia	Future_prospects	0.536
Workers	Finland	Future_prospects	0.584
Workers	France	Future_prospects	0.604
Workers	United Kingdom	Future_prospects	0.594
Workers	Greece	Future_prospects	0.641
Workers	Hungary	Future_prospects	0.594
Workers	Ireland	Future_prospects	0.742
Workers	Iceland	Future_prospects	0.502
Workers	Israel	Future_prospects	0.418
Workers	Italy	Future_prospects	0.637
Workers	Japan	Future_prospects	0.624
Workers	Korea	Future_prospects	0.560
Workers	Luxembourg	Future_prospects	0.434
Workers	Latvia	Future_prospects	0.517
Workers	Mexico	Future_prospects	0.544
Workers	Netherlands	Future_prospects	0.656
Workers	Norway	Future_prospects	0.599
Workers	New Zealand	Future_prospects	0.702
Workers	Poland	Future_prospects	0.432
Workers	Portugal	Future_prospects	0.789
Workers	Slovak Republic	Future_prospects	0.649
Workers	Slovenia	Future_prospects	0.746
Workers	Sweden	Future_prospects	0.652
Workers	Türkiye	Future_prospects	0.145
Workers	United States	Future_prospects	0.507
Workers	Australia	Family_environment	0.647
Workers	Austria	Family_environment	0.680
